a,b,c,d,target
127,144,76,22,176
199,174,45,3,410.5
110,11,65,2,-64
45,24,16,22,34
194,114,87,23,149.5
87,98,90,29,-1.5
187,159,36,19,387.5
46,196,71,16,217
135,73,10,4,249
119,190,40,13,372.5
79,233,26,5,464.5
56,134,92,6,45
234,132,96,4,208
89,223,85,18,271
233,135,66,10,300
50,46,58,1,-32.5
188,173,24,10,457
43,79,59,23,12.5
61,99,92,18,-26
237,20,43,22,137
179,125,46,28,277
141,20,99,27,-129.5
227,226,26,13,594.5
28,255,63,28,335
76,47,63,5,-21.5
209,122,76,26,212
95,51,73,14,-29
15,211,73,0,218
131,204,23,22,459
209,185,80,28,325
149,110,13,26,317
211,78,46,1,228.5
250,14,17,22,216
33,66,75,28,-74
172,80,99,23,23.5
50,215,88,0,216
223,175,64,10,376
163,186,19,0,478
189,18,68,0,21
252,80,11,17,370.5
22,252,23,4,455
158,44,16,5,195.5
199,70,81,23,84.5
220,180,97,26,276
242,90,34,11,314.5
226,244,30,15,616.5
134,93,37,3,207.5
30,216,51,12,303
225,149,40,4,401
45,130,16,10,252
84,124,91,10,54
108,191,57,14,312
233,24,51,23,116.5
143,101,81,5,99.5
99,251,64,12,403
56,253,30,12,466
10,210,60,13,243.5
231,118,84,29,200.5
116,18,44,23,8.5
153,54,42,30,120
138,12,65,6,-36
136,216,30,26,465
232,148,29,20,431
81,156,29,25,293.5
60,56,89,9,-99.5
104,92,84,25,23.5
160,255,25,29,580.5
69,45,37,9,43.5
104,24,53,17,-15.5
124,106,78,30,87
252,109,49,7,319.5
205,50,52,4,147
151,252,49,22,497
177,238,95,2,367
62,189,30,8,346
197,24,57,5,71.5
109,91,59,20,104
164,55,100,5,-28.5
88,176,19,7,379.5
15,122,24,20,177
82,68,65,27,9.5
132,163,37,11,341.5
253,23,11,30,251
203,188,55,3,412.5
15,15,41,1,-78.5
149,93,85,25,67.5
229,112,91,10,175
246,45,59,26,146
83,208,25,12,418
150,198,67,25,332.5
189,114,29,25,317.5
86,132,88,19,76.5
199,215,12,23,581.5
152,249,18,29,581.5
225,63,71,24,126
20,242,76,1,275.5
55,150,49,14,201
189,240,80,16,421
184,142,23,12,393
37,50,61,26,-59
47,60,13,7,124.5
99,162,67,24,210
13,214,47,11,294.5
188,216,39,0,503
140,232,17,28,539
169,172,52,29,342.5
65,232,40,1,408.5
130,190,70,22,289
147,141,85,8,170
197,66,93,8,46
79,97,74,26,38
125,166,68,10,248
136,243,31,20,519
16,216,50,17,289.5
69,126,71,11,102.5
172,126,40,3,302.5
175,235,48,29,486.5
247,254,67,27,540.5
173,193,30,8,465
91,191,54,8,307
79,80,22,15,165.5
227,19,47,8,120
182,101,83,19,125.5
224,227,40,20,548
253,233,78,11,479.5
44,224,57,20,311
19,136,11,28,244
96,218,37,4,419
23,157,75,7,108.5
62,43,24,21,65.5
57,28,88,28,-165
183,132,70,28,223
52,33,94,16,-172
167,163,29,15,398.5
66,40,17,15,87.5
242,195,78,2,397
182,23,69,13,14.5
124,255,10,16,596
50,66,77,14,-56
116,105,69,11,113.5
21,100,61,2,37
88,86,88,1,-4.5
82,124,81,24,75
18,51,90,20,-160
66,50,26,23,76.5
115,177,96,26,168
232,193,58,19,434.5
152,217,22,6,517
118,106,95,1,44.5
91,226,72,7,323.5
217,79,64,23,171.5
18,61,20,18,71
49,233,50,1,364.5
103,19,97,24,-162
144,210,16,22,505
108,37,13,20,133
218,249,74,16,486
105,13,38,15,9.5
214,24,34,6,157
252,192,50,8,482
161,59,34,1,176.5
100,116,68,8,124
33,88,39,16,84
216,196,52,18,443
232,32,41,16,165
37,12,80,25,-191.5
244,161,32,0,470
253,58,35,6,261
40,210,25,8,381
218,154,53,4,365
80,89,26,18,171
164,233,37,2,518
32,54,75,21,-95.5
145,159,99,19,156.5
238,224,39,2,568
106,226,50,5,405.5
51,17,44,0,-47
212,237,59,13,502.5
18,55,47,27,-26.5
29,139,29,20,210
187,239,79,21,417.5
161,149,94,5,174.5
100,130,31,26,254
29,210,43,10,315
227,164,72,21,328.5
203,236,22,8,605
182,153,17,2,436
225,224,86,5,412.5
55,133,75,29,81.5
57,16,79,30,-163
204,63,48,13,179.5
136,20,44,25,31.5
196,185,38,29,437.5
126,11,97,6,-146
31,29,58,20,-95
123,141,46,10,262
102,37,62,23,-21.5
141,88,48,15,165.5
114,146,21,21,332.5
175,250,49,18,519
201,138,17,4,424
214,69,32,6,253
248,81,38,19,286.5
127,41,82,27,-50.5
226,52,53,25,158.5
242,220,67,15,473.5
150,54,39,11,135.5
165,211,30,2,496
99,46,40,11,65.5
248,114,78,18,233
26,205,85,15,173.5
186,142,10,7,436.5
175,167,85,14,247
216,108,37,4,319
34,56,13,26,94
83,112,45,2,171
233,196,26,7,543.5
107,208,91,18,241
190,34,98,11,-41.5
43,147,89,16,62
183,210,97,10,307
241,199,68,15,427.5
47,248,49,15,388.5
206,198,52,19,436.5
206,237,78,13,439.5
110,44,67,1,-3.5
160,237,93,5,352.5
220,224,66,13,463.5
22,173,68,4,162
122,231,91,0,311
17,14,17,28,-20
32,119,47,29,114.5
193,233,83,0,410
20,79,49,11,25.5
197,106,28,18,316
20,163,40,15,218.5
197,122,63,18,243
210,25,63,10,66
231,75,23,27,298.5
226,106,56,11,264.5
150,247,68,30,425
119,159,17,6,383
149,22,25,2,117
90,156,43,4,271
121,96,34,21,200.5
138,102,11,16,301
31,62,20,6,92
129,13,33,21,45.5
96,242,17,29,514.5
53,78,13,15,162.5
48,67,28,5,95.5
243,201,54,14,476
89,192,51,26,307
228,16,75,2,34
196,95,52,5,227.5
97,213,61,18,331
135,150,81,30,177
115,22,50,5,6.5
78,207,62,29,291.5
160,116,96,23,92.5
176,142,78,19,216.5
251,190,63,29,427.5
197,250,68,7,489.5
157,196,52,28,379
51,107,57,14,87
10,103,48,24,60
62,109,80,22,29
248,48,97,1,52.5
190,217,39,0,507
10,244,84,13,239.5
124,152,49,18,272
107,206,32,24,411
184,25,41,19,101.5
26,187,37,8,285
213,224,51,7,504.5
42,56,41,30,16
10,180,56,25,189.5
157,175,41,0,384
88,36,61,21,-33.5
123,75,36,24,153
18,69,74,19,-75.5
202,107,31,27,309.5
239,152,36,18,426
129,178,70,0,275
165,202,95,22,273
129,89,12,17,262.5
167,106,58,23,193.5
223,100,31,13,323.5
80,151,98,24,76
82,201,91,11,205.5
248,238,12,25,675.5
211,110,78,28,183
55,213,33,5,379.5
209,110,68,5,222.5
251,53,57,2,185
131,226,60,9,398.5
33,251,54,27,359.5
229,132,32,0,397
40,217,81,21,220.5
98,43,99,13,-119.5
228,144,82,26,257
91,63,70,1,6.5
95,20,13,6,93
26,151,17,0,277
161,186,76,13,298.5
177,128,14,11,385.5
188,232,94,13,363.5
253,156,86,13,300.5
122,239,78,29,351.5
208,251,89,30,428
133,44,38,12,101
162,181,63,30,320
234,109,55,1,286.5
230,248,94,6,441
222,22,97,15,-32.5
101,142,24,12,307
107,182,76,19,233.5
174,21,51,20,53
239,242,97,22,421
132,191,72,18,289
196,79,63,21,154.5
103,57,72,16,-7
213,94,54,8,235
219,72,99,21,55.5
120,67,60,18,65
206,169,74,19,312.5
101,34,82,8,-81
252,33,18,6,261
94,89,62,19,76.5
106,133,64,25,167.5
250,219,29,30,586
62,94,24,9,173.5
91,130,79,18,105
78,134,23,18,268
92,50,78,12,-48
202,95,82,17,137.5
212,253,10,29,673.5
216,114,81,1,200.5
60,149,45,20,213
29,83,83,24,-66
35,37,25,19,24.5
158,16,15,15,137.5
139,34,89,22,-71
37,13,12,23,15.5
113,234,76,18,344
36,61,66,29,-54.5
160,192,57,30,358
48,59,13,3,125.5
130,146,10,25,379.5
188,186,15,26,502
108,12,49,0,-15
137,29,54,24,21
183,121,18,19,361.5
166,178,44,19,380.5
238,153,46,1,405.5
37,146,57,22,147
29,11,25,17,-32.5
102,28,32,6,59
148,188,37,28,399
143,57,38,26,130
176,202,48,26,423
134,117,99,22,60
15,123,25,10,181
122,237,98,28,288
192,42,49,1,128.5
142,192,71,28,299
182,61,40,1,183.5
190,57,76,21,65.5
172,52,93,0,-3
245,100,96,5,154.5
88,184,86,26,185
251,240,35,3,624.5
220,250,31,27,613.5
142,145,43,3,301.5
240,54,11,21,304.5
166,174,92,14,231
156,199,31,17,452.5
237,166,21,4,504
171,237,55,8,476
206,176,14,9,511.5
66,125,39,8,195
89,209,21,12,438
48,131,90,29,25.5
55,106,38,21,142.5
190,65,10,18,281
161,147,13,19,406.5
77,45,48,0,23
132,166,28,8,376
164,37,27,3,155.5
63,30,54,17,-47.5
31,44,87,12,-148
154,136,12,26,377
27,198,90,9,148.5
200,60,80,8,76
173,93,67,18,149
225,107,32,8,339
22,92,68,15,-5.5
46,103,10,9,217.5
113,47,34,12,99
150,34,64,19,16.5
118,167,58,0,278
171,139,81,8,202
175,197,47,0,428
124,152,60,12,242
132,194,50,21,359.5
55,19,79,23,-155.5
105,19,97,4,-150
13,157,28,19,233.5
40,173,71,10,168
87,143,66,24,163
11,50,35,0,6
217,45,92,21,20.5
122,112,36,3,236.5
76,110,89,16,21
145,195,52,29,364.5
128,25,59,1,0.5
152,200,96,23,252.5
130,181,13,29,438.5
17,183,73,18,155
55,58,43,23,30.5
41,55,32,27,41.5
44,174,41,20,259
11,82,50,15,17.5
31,81,24,29,106.5
191,80,60,26,158
94,228,54,22,377
231,148,80,23,275.5
220,105,50,21,269.5
33,213,84,0,207
240,63,29,21,268.5
254,56,62,24,168
113,16,83,18,-113
228,20,31,28,161
54,171,85,16,133
110,169,67,16,239
105,175,31,24,350
247,54,37,0,244
50,46,70,0,-68
206,86,77,9,142.5
16,181,49,4,229
13,163,32,24,231
196,138,64,7,276.5
243,107,62,26,258
143,171,19,18,419
210,97,10,24,362
16,251,70,0,308
169,23,53,7,52.5
46,31,84,0,-144
10,46,52,25,-66.5
96,250,81,2,352
39,254,69,13,333.5
40,33,80,14,-141
151,161,100,19,163.5
224,101,48,11,276.5
49,74,23,5,125.5
201,167,40,20,405
73,255,64,10,386
184,238,54,25,485.5
106,178,81,27,205.5
199,244,42,27,547.5
45,161,26,4,287
94,181,87,19,185.5
182,133,44,27,302.5
114,141,58,13,215.5
205,149,39,7,382.5
187,152,66,6,290
139,101,80,20,91
158,71,71,15,79.5
122,67,10,19,216.5
14,208,23,16,353
92,103,19,19,231.5
90,70,29,10,138
204,254,94,14,423
35,71,99,7,-123.5
164,164,53,29,318.5
225,182,22,5,520.5
17,243,34,13,394.5
123,81,94,4,1
175,26,59,13,43.5
108,67,15,11,191.5
227,187,58,24,415
86,169,76,16,188
227,105,56,4,267
183,183,52,30,378
51,24,58,8,-79
180,94,36,23,248.5
169,180,41,9,401.5
206,234,19,13,610.5
92,255,22,24,524
116,97,56,25,129.5
253,174,41,2,477
37,116,16,5,218.5
36,177,40,11,264.5
29,234,100,17,188.5
94,251,71,20,373
153,174,38,4,385
26,116,19,27,187.5
110,87,14,12,236
214,121,41,2,332
246,232,19,23,641.5
50,250,31,22,446
121,216,47,9,407.5
112,65,87,3,-20.5
61,20,47,22,-51
98,187,19,30,400
134,72,50,14,121
190,146,88,21,207.5
236,125,100,20,176
97,59,70,11,-0.5
66,96,91,22,-26
95,250,51,14,435
180,27,37,17,114.5
176,31,94,16,-52
117,51,90,5,-53.5
119,192,75,7,274.5
159,51,88,7,-6.5
240,222,51,16,523
50,219,10,26,445
97,107,55,29,131.5
243,63,17,10,313
138,118,83,9,120.5
41,192,33,28,312
125,228,50,19,421.5
138,214,95,30,266
174,140,19,13,390.5
162,195,89,25,272.5
238,43,95,28,25
172,40,99,11,-50.5
243,218,54,2,516
49,245,13,6,497
128,54,27,0,155
33,135,36,6,192
74,222,97,18,218
236,164,10,15,526.5
212,242,71,14,476
145,71,77,24,44
234,23,16,13,225.5
24,145,73,21,84.5
29,246,50,10,366
120,173,37,22,344
245,61,93,12,82
47,36,59,18,-67
147,254,40,18,526
147,91,88,1,64.5
85,175,58,0,261
185,230,99,27,334.5
10,43,19,11,33.5
204,248,85,16,437
205,189,19,24,514
50,200,26,28,358
235,96,37,11,310.5
87,113,51,25,147.5
46,220,46,26,335
219,208,62,23,437.5
121,91,87,2,41
186,202,72,20,364
75,94,57,4,90
19,103,88,18,-48
107,172,41,7,324.5
228,182,91,16,311
107,46,14,28,143
26,143,30,22,211
133,129,45,4,254
28,33,23,4,23
56,244,66,11,340.5
211,91,34,0,291
204,230,39,10,542
167,149,46,19,317.5
116,71,35,17,144.5
144,20,51,7,27.5
163,88,96,14,44
174,119,27,25,318.5
44,244,100,9,227.5
73,254,18,9,522.5
175,76,22,0,261
171,243,97,20,356
169,155,33,1,379.5
197,132,93,23,170.5
201,15,55,17,57.5
206,198,19,26,532
76,242,23,14,484
84,163,13,18,362
241,174,14,26,534
213,154,33,3,420.5
86,166,21,12,349
186,211,45,19,463.5
91,55,44,29,54.5
229,158,54,4,381
31,179,30,25,286.5
140,234,31,9,510.5
91,237,80,5,322.5
